params,return,win_rate,trades,params_str
"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 30}",99.74288528185025,62.4441132637854,671,"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 30}",85.74576170660022,60.13864818024264,577,"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 40}",75.19562917985016,63.90728476821192,604,"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}",67.85520772045017,63.7123745819398,598,"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 30}",58.36319511405018,65.06024096385542,1079,"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 30}",57.37611793490041,63.992869875222816,1122,"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}",54.45804341410002,62.62135922330098,412,"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 30}",54.124438122000164,58.081705150976916,563,"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}",53.864011038000136,60.747663551401864,428,"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 40}",53.03240951230019,63.32794830371567,619,"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}",52.48985324390015,65.15580736543909,1059,"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 30}",50.43968529690013,53.95833333333333,480,"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 30}",48.43578847620028,58.40336134453782,476,"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}",48.22995489950022,59.818731117824775,662,"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}",46.638376868250134,60.24340770791075,493,"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 40}",45.461050419750094,62.39495798319328,476,"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 40}",43.513338687300234,62.37424547283702,497,"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 30}",41.24160689670015,63.33830104321908,671,"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}",40.51291040190014,57.14285714285714,420,"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 30}",39.61198880350011,54.67889908256881,545,"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 30}",37.34750213850003,60.366972477064216,545,"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}",37.18178111300063,63.83363471971067,1106,"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 30}",35.85160192365014,60.76555023923444,627,"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 40}",29.021735910250086,56.90021231422505,471,"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 30}",27.870281332650183,63.51851851851852,540,"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 40}",24.813407046850042,64.66666666666666,600,"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}",22.253229417750152,62.4251497005988,668,"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}",22.118441950300337,64.98572787821124,1051,"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 30}",22.097659353150235,61.558109833971905,783,"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}",18.758217319350166,58.22222222222222,450,"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}",18.128026898450226,62.55144032921811,486,"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 40}",17.55339747600016,60.89965397923876,578,"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 30}",15.199303735550195,63.6978579481398,887,"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}",10.6696560151501,55.23255813953488,516,"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 30}",9.13677818655029,62.713387241689134,1113,"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 30}",8.227223571100176,59.499263622974965,679,"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}",5.905783850950152,61.94852941176471,544,"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}",5.865898817850217,62.30088495575221,565,"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}",5.416376741800129,61.89624329159212,559,"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 30}",3.222319455550059,62.74131274131274,518,"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}",2.9714831553003043,62.786434463794684,1091,"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}",2.032781254850164,62.22222222222222,540,"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}",1.1225944544501156,60.62271062271062,546,"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}",-0.15609169439984857,60.48265460030166,663,"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 30}",-2.0875005366998765,61.52570480928689,603,"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 30}",-2.5600180439998357,64.39252336448598,1070,"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}",-2.6262003623999957,62.37006237006237,481,"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}",-3.9659003372998387,62.414965986394556,588,"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}",-4.870964817099869,55.4054054054054,518,"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}",-5.224537470349937,62.664714494875554,683,"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 30}",-5.754572745349914,62.30283911671924,634,"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}",-6.204898008099794,62.227074235807855,916,"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}",-7.809840682149857,61.050328227571114,457,"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 30}",-9.841089195899963,57.01559020044543,449,"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 30}"
