SMA,Buy,Sell,Hold,Return,MDD,Win,Trades
100,25,80,40,3262.0604806678116,-41.10135546969991,65.98586017282011,1273
200,30,80,40,2668.9164471791437,-53.38466677358987,64.64088397790056,1267
60,30,80,20,2592.791747212731,-57.56529653859687,57.26823916620955,1823
60,35,80,40,2481.2696627805726,-40.95570469796744,63.18972033257747,1323
200,35,80,40,2265.6254151968337,-47.189198570294195,63.94984326018809,1276
120,25,60,40,2247.9465196792794,-39.37453701165971,65.21739130434783,2553
50,25,80,20,2221.9987368252946,-55.10942090796548,56.62100456621004,1752
100,30,80,20,2088.006695196954,-40.92237891533744,57.380688124306324,1802
100,25,60,40,2087.916832947312,-44.70868340195766,65.3635652853792,2558
60,25,80,20,2085.246543317394,-50.10351235916263,56.69515669515669,1755
60,30,80,40,2061.7049368336075,-49.371424785149074,63.12548113933796,1299
50,35,80,40,1996.6634299396947,-49.586961085761814,63.602110022607384,1327
120,20,60,40,1959.1455969110289,-34.3959860804971,65.04770164787512,2306
200,35,70,40,1883.1769418330207,-45.99004092610149,64.52127659574468,1880
50,35,80,20,1858.7239430483041,-51.193747514754726,56.495956873315365,1855
100,25,60,20,1702.0452306396262,-50.26523393872703,64.94169096209913,2744
100,30,80,40,1690.256755183895,-41.989445379298665,64.33566433566433,1287
100,25,70,40,1672.2880723840096,-55.55996304835957,65.95041322314049,1815
100,35,60,40,1668.0048878454165,-41.73971633992542,65.09874326750449,2785
100,35,80,20,1636.4354597380404,-43.071004335122595,57.45614035087719,1824
120,25,80,40,1608.246926263398,-42.265780718599785,64.35958631662689,1257
120,30,60,40,1607.7400171044878,-39.31988380278781,64.90509862299962,2687
100,30,60,40,1576.382732929311,-40.45809009807482,65.00927643784786,2695
100,20,60,20,1560.9585924386326,-51.99945159560502,65.10395434162251,2453
100,35,65,40,1555.8099886307775,-43.52777305737214,65.79173838209982,2324
100,20,60,40,1553.9404096415283,-49.625479293993486,64.78811708169506,2289
100,25,80,20,1547.4644842671626,-54.927795838340145,57.28929384965832,1756
100,25,75,40,1535.8289291024655,-53.902595171547595,64.24322538003966,1513
100,20,80,40,1535.1043909668945,-41.858354988784605,64.77832512315271,1218
200,25,80,40,1526.9555307999465,-48.04323709734146,64.10048622366288,1234
100,35,70,40,1519.602551497005,-44.35159508265038,65.75271598551474,1933
20,30,75,20,1513.2386429487956,-49.84151777010684,61.05695228322217,1949
120,30,60,20,1508.6680223348392,-37.29798767135753,65.07226428079835,2906
120,30,80,40,1441.0641439549854,-45.439172816474475,63.92801251956182,1278
60,20,80,20,1414.5447145807773,-43.8686439131818,55.54202192448234,1642
100,10,60,40,1398.7221999096287,-35.44633944596531,65.53002223869532,1349
120,20,70,40,1398.428008129614,-42.5423230607643,64.57345971563981,1688
100,10,80,40,1397.7941349931243,-51.03588720500329,64.62882096069869,916
60,35,80,10,1397.1606232892816,-61.53376873714193,50.12048192771085,2905
120,25,60,20,1396.1069886453952,-46.79822976732284,64.99634235552304,2734
120,30,65,40,1392.702448437767,-41.918212145267596,65.27716186252772,2255
20,35,80,20,1385.6731375587156,-61.88864865478961,57.11982804943578,1861
120,25,75,40,1363.6323875547732,-44.30828241820565,64.21052631578948,1520
100,25,75,20,1351.3604703577394,-53.3510552721401,60.19467213114754,1952
50,35,75,20,1351.1275308290706,-49.693179563904486,60.01950268161872,2051
60,25,80,10,1341.8273816510043,-63.90370821889727,50.0,2702
120,35,60,40,1330.3392063847323,-39.32485418316803,65.15315315315316,2775
50,30,80,20,1328.1309108429539,-52.11770666764489,55.84988962472406,1812
50,35,80,10,1324.3638302858506,-59.05348018814869,49.896623018607855,2902
60,30,60,40,1317.9883730339754,-37.50235330937127,65.22058823529412,2720
50,25,75,20,1291.6272025764795,-49.54351311954387,60.218408736349446,1923
100,35,80,10,1290.8608342536422,-38.45946232140525,50.75914423740511,2898
100,25,80,10,1287.0071385557656,-44.24467669010404,51.097293343087046,2734
120,25,70,40,1271.040734720232,-46.252023650208095,64.97237569060773,1810
60,25,75,20,1258.0594042532114,-56.56289966054023,60.94154164511123,1933
120,20,60,20,1253.8529036192087,-42.370487237467124,64.96557310652086,2469
100,10,60,20,1236.2856030550909,-41.84981264927082,65.29160739687056,1406
60,35,65,20,1236.0451842857608,-46.668626545761754,64.08132530120481,2656
100,30,65,40,1231.222967322532,-49.303425761781824,65.43594306049823,2248
120,30,65,20,1228.6436245648572,-51.47893918976237,64.85109717868337,2552
50,25,60,20,1228.422779373348,-52.583568829372254,65.31835205992509,2670
60,30,75,20,1227.984415688012,-52.44161857733221,59.98018821198613,2019
100,10,75,40,1215.502680244297,-43.441049076870115,65.43330087633885,1027
120,20,75,40,1212.432237557074,-49.2323238997297,63.6109167249825,1429
50,25,65,40,1209.7295831759745,-50.681158786095715,65.39712029725963,2153
60,20,65,20,1205.299961217165,-39.635000142633565,64.1108545034642,2165
100,10,65,40,1203.6320268065433,-47.46343847679259,66.13545816733067,1255
100,35,80,40,1201.8799778443076,-50.295128970954586,64.11446249033256,1293
20,30,80,10,1199.0032516219592,-49.16133624784742,50.72805981896891,2541
60,35,60,40,1196.2744256153576,-43.13169704812426,64.68100105745506,2837
100,35,75,20,1192.4481843905048,-45.707694644261174,60.16699410609038,2036
60,25,60,20,1181.8457219705915,-48.92581143665348,65.33382245047689,2726
100,15,60,40,1180.471121461614,-41.39261137491703,64.33456075749605,1901
60,30,65,20,1174.912796070879,-46.489573139591066,64.18840015570261,2569
60,15,65,40,1165.383136814508,-37.52010924085978,64.69135802469135,1620
120,20,80,10,1156.3415474786102,-47.67149636858142,50.78186082877247,2558
100,10,70,40,1153.0200179458918,-53.99493389705263,65.94076655052264,1148
200,25,75,40,1149.898047448464,-47.91075737217413,64.20911528150134,1492
200,25,80,20,1149.6745658114082,-47.6069093749973,56.54726952436876,1703
60,25,75,40,1145.8194299676366,-51.177099422722925,63.957361758827446,1501
60,15,65,20,1129.8757658984248,-36.35622322347235,63.61581920903955,1770
100,25,75,10,1123.1444113509735,-48.26714997207587,53.326330532212886,2856
120,30,80,20,1121.8735444836523,-47.102862952987785,56.28140703517588,1791
60,30,80,10,1119.8013822334735,-59.74359006550948,49.964763918252295,2838
50,25,75,40,1118.762629145134,-48.69879712965648,63.90728476821192,1510
100,30,60,20,1118.4578554996315,-38.917305188392106,64.95343221800621,2899
60,35,80,20,1103.136839297453,-56.64273215263835,56.36856368563685,1845
50,15,65,40,1102.311554682092,-50.471067641090904,65.55484284797947,1559
50,20,80,20,1087.7184673336903,-45.1311008323279,55.212831585441094,1621
60,20,70,40,1085.2186199321272,-42.11515708199735,64.84375,1664
60,15,80,40,1074.4491642054818,-64.91576777115185,63.48470806302131,1079
120,25,65,40,1073.4704455193037,-39.252374238733644,64.28237494156149,2139
120,35,60,20,1072.6399556313704,-37.427475650725555,65.15806988352746,3005
100,20,70,40,1071.387221560833,-48.49230222913263,64.83253588516746,1672
50,25,60,40,1070.0677110595032,-49.21912806289699,65.82329317269077,2490
120,25,80,10,1069.0030666241016,-48.28117687311399,50.6949524506218,2734
50,30,60,20,1058.2053477310342,-55.418386888760175,65.56865464632455,2884
200,30,70,40,1055.6367014370685,-46.18061173171149,63.48684210526315,1824
120,30,80,10,1054.463961799145,-48.44308536340055,51.21265377855887,2845
60,20,75,40,1052.9049762706297,-44.46918124531673,63.5719347980156,1411
100,30,70,40,1049.902230821422,-48.988298838987696,65.09533898305084,1888
60,20,70,20,1028.1216919965434,-43.47504485759487,62.422997946611915,1948
50,25,65,20,1023.7276780451715,-47.64166971221892,65.16155758077879,2414
100,30,65,20,1018.6591735087783,-41.87531823024053,64.05819897758553,2543
120,35,80,40,1016.6456047861981,-44.42112493570448,63.11667971808927,1277
120,25,75,20,1012.9049895400193,-48.60818845839945,59.98970133882595,1942
100,30,75,40,1012.4878834005067,-54.510329576492346,63.10057655349135,1561
60,35,75,40,1006.2126727248824,-51.625818946639626,63.56147021546261,1578
60,20,60,20,1005.9810891065875,-50.81608679093759,64.68867530296698,2393
60,35,60,20,999.9628120513096,-50.85535632918441,64.37007874015748,3048
50,35,60,20,995.5180887821689,-46.45944614522907,65.43413667877186,3029
100,35,75,40,989.3351939199767,-45.7049986811438,63.476070528967256,1588
120,35,80,10,986.5151270677046,-49.52577847351507,51.372957942301014,2877
100,10,65,20,984.3634110158439,-47.76621882528105,64.15797317436662,1342
20,25,60,40,981.9161612071433,-38.69621532739843,65.99409448818898,2032
200,25,75,20,980.6186261969177,-60.44101044392235,59.726603575184015,1902
100,15,60,20,971.7716494630203,-44.115844107236285,64.41351888667992,2012
60,30,60,20,960.9392427155556,-48.862599678528255,64.76223058501539,2923
120,15,60,40,959.8976032871749,-44.9361852798498,64.18219461697723,1932
100,35,65,20,954.563156888571,-44.738037965864436,64.58891013384321,2615
60,25,80,40,949.0098439037336,-42.74154787703803,62.26870474658085,1243
20,30,80,40,943.4928195713077,-58.391981465608865,63.49574632637278,1293
20,30,75,40,942.1573018508726,-45.00875847787499,64.53488372093024,1548
100,10,70,20,940.0719441607888,-46.98674840887626,62.960062646828504,1277
100,25,70,20,934.1121908462447,-51.2033489263189,62.911451089476124,2157
50,25,80,40,932.2196516935251,-48.44594321841291,63.25396825396825,1260
100,15,80,40,929.9054177809218,-58.231166152961265,63.503649635036496,1096
50,30,65,20,926.0681496861824,-51.91986355697632,64.5123384253819,2553
120,10,80,40,926.0280110741573,-41.94538020487693,62.63616557734205,918
100,25,65,40,924.584056473778,-45.844286716834844,64.52671040299907,2134
50,15,80,40,923.0048501908256,-58.24681434301441,62.27316141356256,1047
200,25,60,40,919.1071484013693,-42.811117609606875,64.25978217022993,2479
120,10,60,40,916.5795308259076,-29.729954071530795,64.33166547533953,1399
120,35,75,40,915.9855051005956,-40.70509970954964,63.27827191867853,1574
120,20,75,20,909.4349252705844,-48.20774823534157,59.128516271373414,1813
120,35,65,40,906.2094755075047,-46.98022113003637,65.03923278116827,2294
20,30,65,40,904.5073106028603,-50.679174997707285,66.23735050597976,2174
60,15,60,40,899.1618936705594,-49.15407153703549,64.89773355444997,1809
20,25,65,40,895.6441583076279,-40.04646214655296,66.48471615720524,1832
60,15,80,20,894.5957908866042,-54.612903386141575,54.62833099579243,1426
60,35,65,40,893.0898438501389,-55.66508090993585,64.35304198800343,2334
60,15,70,40,892.9867876807022,-49.53348883529324,64.38746438746439,1404
20,25,65,20,882.6092184908482,-52.47554042312109,65.39245667686035,1962
120,15,80,40,881.510847871756,-51.06835077654747,63.43012704174229,1102
120,20,80,40,877.5270756756763,-41.857842761799276,63.42477140482128,1203
50,35,65,20,873.7302166987023,-50.14039700819305,64.02277039848198,2635
60,20,75,20,873.3550782162538,-44.070466989650384,60.0,1790
20,25,75,40,871.1135874441942,-37.89964881829865,64.61988304093568,1368
60,35,75,10,862.2880268044377,-70.47238808068731,51.42017629774731,3063
100,25,65,20,856.9684235156712,-56.537768755040986,63.911960132890364,2408
50,15,60,40,854.38454546065,-54.103014790086,65.60139453805927,1721
200,25,70,40,852.9972865443242,-43.82189378447093,63.3810888252149,1745
50,20,80,40,852.3493251538655,-47.951023347020296,62.93176074136478,1187
50,30,80,40,846.5649642275345,-52.820172930255126,63.121118012422365,1288
120,10,65,40,846.5524054001006,-40.92402096036095,64.24710424710425,1295
60,15,60,20,846.2105951822647,-41.842615916139245,64.58007303077726,1917
60,20,80,10,845.5429331855395,-53.95289287542051,49.40743767879036,2447
200,20,75,40,845.2752113320557,-48.92448029268384,63.771186440677965,1416
20,35,80,10,842.2023096726388,-49.85267980885315,50.337238196663115,2817
120,25,80,20,841.0891182031454,-50.36419212711824,56.454388984509464,1743
60,25,65,40,835.6361622869052,-48.24266637698681,64.79137365213315,2133
50,30,65,40,830.1396871832866,-58.398733404647,64.47944006999126,2286
50,20,75,40,829.945353997008,-55.23285726732583,63.345195729537366,1405
100,35,70,20,823.7210910721227,-46.1863150490592,62.980769230769226,2288
50,25,70,20,822.6737072789219,-50.065091045690245,62.640977443609025,2128
200,25,60,20,822.0114868532809,-53.62025056143683,64.55601348819783,2669
120,20,75,10,812.3149927329526,-49.3397782928605,52.31987929083365,2651
120,35,65,20,812.0332274089739,-50.54317000354376,64.55353691534597,2587
120,30,75,40,807.8348737306152,-48.39522856677513,62.93661060802069,1546
120,35,70,40,806.3802795436152,-52.55013875482547,64.01475237091675,1898
50,10,65,40,805.5261656888625,-38.2654142091208,66.49746192893402,985
120,30,70,40,804.998845276949,-47.48945679610575,64.85911749069643,1881
200,20,70,40,799.4114434459543,-50.99858339349234,63.900666262870985,1651
60,20,60,40,799.0658369795221,-52.75481527246867,64.40449438202248,2225
50,25,70,40,798.3510056593183,-65.23325097126487,64.74538332400671,1787
120,10,60,20,796.9797301108293,-34.21163731377238,64.12894375857339,1458
50,15,60,20,795.578052942076,-47.002174570957024,65.10215350635008,1811
120,10,70,40,794.5724056201229,-42.914726309382274,63.88415672913118,1174
60,25,70,40,793.6705727437701,-51.233903236686515,64.26966292134831,1780
60,25,60,40,789.4091387023776,-52.0284639658141,65.11720301946762,2517
60,35,75,20,788.1957845035805,-57.97663285539754,59.87261146496815,2041
50,15,65,20,787.1315062835208,-46.352841788358624,64.12078152753108,1689
60,10,80,10,786.4419490632697,-37.31138460508682,51.14942528735632,1218
100,20,75,40,784.2943166907253,-45.131808853342804,62.754743499648626,1423
120,35,75,10,781.6828873414593,-45.72239402995674,52.61255340124876,3043
60,30,65,40,781.10199921996,-55.1186283852119,64.15675913694407,2271
20,25,60,20,779.5648361098769,-45.94927496416242,65.53512494106553,2121
120,25,65,20,774.4172532762244,-53.71222450919867,64.01499375260308,2401
100,20,80,20,772.3746885439987,-47.97581271115928,55.62953995157385,1652
60,15,70,20,770.2653257875786,-46.7170601600416,60.775862068965516,1624
60,25,65,20,770.0761494455909,-53.27623960665555,64.24116424116424,2405
50,20,65,20,769.6497511529009,-50.32512893447746,64.23841059602648,2114
200,35,65,40,766.9269534594213,-45.986957517086935,64.00535236396075,2242
120,25,75,10,766.7257145969593,-46.427846421599355,52.52877572375305,2867
200,30,75,40,758.6423589714235,-63.770545119794896,63.49413298565841,1534
100,30,80,10,757.4355681580357,-48.23869531187892,50.93145869947276,2845
50,15,75,40,744.6100872418187,-50.900917831119315,62.57309941520468,1197
20,30,70,20,739.0942397979895,-48.08347256155891,63.934426229508205,2135
200,10,60,20,735.6117031207725,-41.49852499041559,63.224984066284264,1569
200,15,75,40,735.4856268422815,-44.734169505101555,63.27329678935004,1277
200,30,75,20,734.133048706813,-52.91815770985754,59.13978494623656,1953
100,25,70,10,729.39990655826,-50.06348644577978,55.35595475715236,3006
200,30,80,20,729.3562460734288,-58.52813321905674,55.907780979827095,1735
100,20,80,10,728.3523803977118,-58.47641624741324,50.317460317460316,2520
100,35,75,10,725.3561891812687,-40.588640155181125,52.82152230971129,3048
200,35,75,20,722.7723579702122,-61.96474488657353,59.34343434343434,1980
60,30,65,10,718.3325694561116,-58.408230261468816,58.181283107710414,3398
200,35,75,40,711.0615481790107,-65.31403089123027,63.38939197930142,1546
20,25,75,20,701.1710233918513,-48.83963419423904,60.99939061547837,1641
50,35,75,10,699.2986649451789,-62.03213307890124,51.837398373983746,3075
200,10,60,40,694.2792941980339,-38.58594365812264,63.13301823092505,1481
20,30,60,40,691.1836011101603,-55.217875968646105,64.77861986437973,2507
120,10,65,20,690.1434963207181,-42.20213757734822,62.8140703517588,1393
50,10,65,20,688.4565496283293,-31.962333733171793,65.12770137524558,1018
120,20,65,40,686.5178795755564,-38.558720859048975,64.12487205731831,1954
50,20,70,40,685.7563370595749,-54.488440351630985,64.88970588235294,1632
50,30,60,40,684.905100119965,-54.20909442264379,65.34282502810042,2669
200,25,65,20,683.8636036890712,-49.81455594953338,63.38682432432432,2368
20,25,80,20,683.8514420227749,-50.77764074252008,56.97131420947298,1499
50,35,60,40,677.3721269937068,-46.230612625326096,65.22361359570662,2795
120,20,70,20,676.8725830046918,-43.52384129445407,61.88811188811189,2002
20,25,70,40,673.0900675568004,-40.75215983944776,66.08150470219437,1595
20,30,70,40,670.642572580119,-48.5116423152989,65.5002733734281,1829
200,30,65,40,664.6570689461303,-44.61555017172669,63.89396709323584,2188
120,30,70,20,663.9718153489773,-45.91040789712357,62.84055381866905,2239
20,30,60,20,661.3015095310044,-43.30657275878919,64.1044776119403,2680
50,30,75,10,658.9043434788823,-45.844404049440406,52.07001009761023,2971
60,20,65,40,655.4072912477643,-45.8904648725048,64.63858554342174,1923
120,20,80,20,651.8667269625356,-44.067184111369926,55.49483910139648,1647
20,25,70,20,645.3750882188867,-47.00093859418221,63.941769316909294,1786
200,20,80,40,638.9640668643838,-52.47619802424918,63.45826235093697,1174
120,10,75,40,638.4046364017709,-44.59145065600267,62.53602305475504,1041
50,15,70,40,637.2844256613354,-52.283487410385355,64.13440467494522,1369
50,30,75,20,632.692456323679,-57.119088007498796,58.84115884115884,2002
100,30,75,10,631.5742754996577,-49.24794812364423,52.51340482573726,2984
50,25,80,10,630.0217165018877,-53.8526442255631,49.04027098231088,2657
100,20,65,40,628.6926080613636,-53.876511067378885,64.2380708055413,1949
100,35,60,20,627.8692573539631,-43.0495637198566,64.41018766756032,2984
50,35,65,40,627.8618148171336,-55.856512492536744,63.988095238095234,2352
60,35,70,40,620.232304037386,-50.022951448274576,62.54622292657158,1893
60,10,60,40,619.6705893654661,-31.450280498935022,65.33687943262412,1128
60,10,60,20,619.0659223513339,-26.723476127222824,64.52991452991454,1170
50,10,75,10,618.0605330663359,-33.63967826713338,51.99258572752549,1079
120,25,70,20,615.7053956126321,-49.86186426146421,62.085086489013555,2139
120,20,65,20,615.3488258560685,-50.147060717519466,63.25602546612097,2199
50,10,60,40,611.1773413255005,-32.12725083541491,65.39589442815249,1023
60,10,65,20,610.9099156665947,-38.165915284017906,64.35555555555555,1125
100,15,65,40,603.5274243804438,-41.60288479384954,63.691194209891435,1658
50,15,80,20,597.1783103647276,-50.26402117587803,54.48577680525164,1371
100,15,70,40,597.1440279090629,-46.167351814206086,63.76306620209059,1435
200,10,75,40,596.6674914694801,-36.860816310484374,63.53488372093024,1075
60,15,75,20,595.6665484038202,-55.98177769190459,57.31225296442688,1518
50,25,65,10,595.5893975337983,-43.81912105429321,58.07803934214769,3101
60,20,75,10,595.4816737981914,-50.476250642389154,51.06803797468354,2528
20,20,75,40,593.4104950253461,-35.9280885287492,64.46446446446447,999
60,10,75,10,592.4829436020632,-37.92280304754485,51.99674001629992,1227
100,20,75,20,585.9737956872716,-41.57497720486314,59.27777777777777,1800
120,15,60,20,576.8191402008725,-44.51074981781791,63.71638141809291,2045
200,30,65,20,576.8025347365284,-49.887822908292485,63.526081682167415,2473
50,10,70,40,575.7404013227616,-38.62105913858594,65.29284164859001,922
120,35,70,20,570.6195811547109,-52.78801997682842,62.22418358340689,2266
20,35,75,40,566.7806483857474,-51.738349097320494,63.697788697788695,1628
60,25,75,10,564.9310068105276,-60.08984353168344,51.58081705150976,2815
60,35,80,5,561.9753395373044,-57.40464969337826,48.179335457441965,4394
50,30,80,10,560.0700339229758,-54.739413507350896,49.41218382614891,2807
200,25,65,40,558.1005737510793,-47.87138501906685,63.549160671462836,2085
200,15,70,40,557.4865473061573,-45.26323922908312,62.89222373806276,1466
60,30,75,40,557.423508360126,-59.398799982988336,63.130659767141005,1546
50,10,70,20,556.8728970002894,-36.62392412997413,62.34693877551021,980
20,30,80,20,552.2412804612947,-55.228697903546376,56.48899188876014,1726
60,35,70,10,552.1409388504678,-60.49961080824763,54.54545454545454,3267
200,20,60,40,545.5500694061753,-49.481818563322285,63.98585947856827,2263
200,35,80,20,545.236888880821,-65.43437785091561,56.146369353916526,1749
